"gene" "TF" "p_value" "FDR" "rho"
"114" "EDN1" "GRHL1" 0.420793633352791 0.63294743148831 0.0963406006817159
"115" "EDN1" "ETS1" 0.0068430632738996 0.0496370983190096 0.316033185413853
"116" "EDN1" "EHF" 0.0236212235407834 0.11374558097084 0.266544472313332
"117" "EDN1" "TFCP2" 0.00194651564654384 0.0210512062515112 -0.359154929577465
"118" "EDN1" "EGR4" 0.253447697762256 0.463582475296338 0.136344383642999
"119" "EDN1" "PAX3" 0.0273201918696974 0.115615884434082 0.260144217453298
"120" "EDN1" "VEZF1" 0.481331161175178 0.662965561618642 -0.0843141038008875
"121" "EDN1" "KLF4" 0.00018584079054819 0.00702260625875414 0.426683387999228
"122" "EDN1" "ZNF189" 0.792303178600322 0.873028408118091 0.0315775934143675
"123" "EDN1" "TFAP2A" 0.00150337360655047 0.0185375103210778 -0.367322657405621
"124" "EDN1" "IRF4" 0.277944548240566 0.483094095751459 0.129590327352241
"125" "EDN1" "GCM1" 0.603442040866001 0.766109025795097 0.0622486225076881
"126" "EDN1" "FOXF2" 0.040519806305072 0.137578877221872 0.242041288828864
"127" "EDN1" "POU2F3" 0.471649828566472 0.662965561618642 0.0861791755096791
"128" "EDN1" "ETV6" 0.024489950162881 0.11374558097084 0.264968808283491
"129" "EDN1" "ASCL1" 0.00384149311251778 0.0339913936016725 -0.336584849955451
"130" "EDN1" "ZNF740" 0.513773264728755 0.691344669588924 -0.0782043861341565
"131" "EDN1" "ZIC5" 0.990167135534741 0.990167135534741 0.00147826646964623
"132" "EDN1" "ESR2" 0.390305169547591 0.606218667595194 0.10277188243617
"133" "EDN1" "JDP2" 0.0478538237225233 0.150250715343837 0.234034343044569
"134" "EDN1" "TCF12" 0.743122364317453 0.84901323956184 0.0392951315197119
"135" "EDN1" "IRF8" 0.0597102547703345 0.174806408843693 0.223004694835681
"136" "EDN1" "FOXK2" 0.475976695516308 0.662965561618642 -0.0853431088816001
"137" "EDN1" "NFIC" 0.858281435551684 0.918015308355647 0.0214161682423307
"138" "EDN1" "ZIM3" 0.905125101686732 0.939489888602862 0.0142961246429287
"139" "EDN1" "ZFP14" 0.91034844743845 0.939489888602862 0.0135056916843527
"140" "EDN1" "TBX19" 0.0102725595303109 0.067324422229958 0.300694578429481
"141" "EDN1" "RORC" 0.255605405899693 0.463582475296338 -0.135732201427745
"142" "EDN1" "CREB3L4" 0.0530840094875283 0.161463862191232 -0.228921474049778
"143" "EDN1" "SOX13" 0.0616611647633576 0.174806408843693 -0.221364717988295
"144" "EDN1" "OSR1" 0.000107473293358182 0.00523036694343151 0.440574956588848
"145" "EDN1" "MEIS1" 0.0321687612758971 0.121971463622335 0.252781529358801
"146" "EDN1" "NR1I2" 0.648667109753997 0.785936913062934 0.0546103631670937
"147" "EDN1" "FERD3L" 0.0323496617829601 0.121971463622335 0.252525375830141
"148" "EDN1" "NFIB" 0.000995707463421588 0.0145373289659552 0.37992796964435
"149" "EDN1" "NR6A1" 0.0775014083239019 0.207618451656691 0.209402533925011
"150" "EDN1" "ZEB1" 0.284733536829898 0.489071722084295 0.127789568460994
"151" "EDN1" "TCF7L2" 0.0635044674627655 0.177154414142427 0.219853366775998
"152" "EDN1" "THRB" 0.811176137712761 0.883818776910919 -0.0286513602160911
"153" "EDN1" "POU4F2" 0.656148606449807 0.788458407750385 0.0533682663556813
"154" "EDN1" "NR3C2" 0.196131928583687 0.392263857167374 0.154125667245482
"155" "EDN1" "FLI1" 0.0148043273447168 0.0831319920126403 0.286192038073188
"156" "EDN1" "POU4F1" 0.119100645677368 0.27902406722782 0.185326405466005
"157" "EDN1" "TCF7L1" 8.37969805887799e-06 0.00117640704214337 0.498392179561387
"158" "EDN1" "ZIC1" 0.0116688448621453 0.0695367897907434 0.295716751125334
"159" "EDN1" "CEBPG" 0.473977039270048 0.662965561618642 0.0857289857868673
"160" "EDN1" "GABPA" 0.025815493757172 0.11374558097084 0.262653546851888
"161" "EDN1" "KLF10" 0.259260327568236 0.464441813803221 0.134703196347032
"162" "EDN1" "BATF" 0.299521737694367 0.497887179114838 -0.123962955817094
"163" "EDN1" "BACH1" 0.00173133715041609 0.0194442479969807 0.362885072995048
"164" "EDN1" "BACH1" 0.00173133715041609 0.0194442479969807 0.362885072995048
"165" "EDN1" "ETS2" 0.000652197030146787 0.0126961021868574 0.392372499839218
"166" "EDN1" "CREB3L1" 0.857228624064198 0.918015308355647 0.021576950286192
"167" "EDN1" "ELK4" 0.269964802323934 0.474877845051739 0.131744806739983
"168" "EDN1" "USF1" 0.104422476270815 0.252706094413567 -0.19293845263361
"169" "EDN1" "HOXB13" 0.520705822236325 0.697459174738564 -0.0769248244954939
"170" "EDN1" "NR2F6" 0.135567295889288 0.305564175391891 -0.177599845649238
"171" "EDN1" "PKNOX1" 0.441323466804447 0.640995319996013 0.092160267541321
"172" "EDN1" "ZNF382" 0.414434497830261 0.630285798783522 -0.0976590134413789
"173" "EDN1" "NFIA" 0.253678047353526 0.463582475296338 0.136278860376873
"174" "EDN1" "ZNF281" 0.932274273974482 0.94851598606463 -0.0101935815808091
"175" "EDN1" "ATF3" 1.96461059004831e-08 5.73666292294108e-06 0.603833043925654
"176" "EDN1" "ELF3" 0.0501016975376794 0.155635060436196 0.23178339443051
"177" "EDN1" "FEV" 0.556947549254752 0.724118015556799 0.0703692316968321
"178" "EDN1" "ZNF148" 0.641777993250515 0.784096962465064 -0.0557592128111133
"179" "EDN1" "HAND2" 0.0266937550214202 0.114626124503746 0.261174352048363
"180" "EDN1" "PRDM9" 0.616960131220881 0.766605780070201 -0.0599408105304856
"181" "EDN1" "EBF1" 0.0111567881290152 0.0689932707811858 0.297478937552254
"182" "EDN1" "TBXT" 0.0793321864510828 0.209575247060721 0.208150096410494
"183" "EDN1" "SP8" 0.861475227434251 0.91806849055037 0.0209286515700462
"184" "EDN1" "HNF4G" 0.836855414598179 0.905043633565438 -0.0246961219371021
"185" "EDN1" "FOXK1" 0.902062946989866 0.939489888602862 -0.0147597916264712
"186" "EDN1" "OSR2" 0.614320374231776 0.766605780070201 -0.0603897356743199
"187" "EDN1" "NFIL3" 3.60859396531894e-05 0.00263427359468283 0.466589491285613
"188" "EDN1" "NKX6-3" 0.925476626236516 0.948207631091448 -0.0112195041502715
"189" "EDN1" "PHOX2A" 0.000232145175669285 0.00753182125504793 0.420864405907517
"190" "EDN1" "PKNOX2" 0.0893362836449512 0.228826270388822 0.201684995819667
"191" "EDN1" "CDX2" 0.136038845208719 0.305564175391891 0.177389338067578
"192" "EDN1" "SPIC" 0.236335967614094 0.451046421851734 0.141330386697724
"193" "EDN1" "ZNF143" 0.217402358247827 0.420407209326924 -0.1471477265419
"194" "EDN1" "PBX3" 0.269846878227563 0.474877845051739 0.131776963148756
"195" "EDN1" "SP2" 0.953609853288359 0.96018647296621 -0.00697794070358222
"196" "EDN1" "ZNF528" 0.00214456942620129 0.0217659205125427 -0.356035757926555
"197" "EDN1" "ZNF701" 0.000761521865610455 0.0138977740473908 -0.3878706026111
"198" "EDN1" "RBPJ" 0.159608015888677 0.342687798819807 -0.167502733294746
"199" "EDN1" "FOXI1" 0.692246602729569 0.811791196775238 0.0474505958987196
"200" "EDN1" "IRF2" 0.479319486071173 0.662965561618642 0.0846999807061548
"201" "EDN1" "STAT3" 0.000106364976281951 0.00523036694343151 0.440832207859026
"202" "EDN1" "SOX14" 0.297085107298652 0.497887179114838 0.124584793604431
"203" "EDN1" "ZNF354A" 0.768623269571552 0.863223056595743 -0.0352755804231783
"204" "EDN1" "HIC2" 0.734614053388065 0.844516943265019 -0.0406457006881472
"205" "EDN1" "KLF13" 0.181791528604 0.370995435069431 0.159142067013956
"206" "EDN1" "FOS" 0.0125257002489869 0.0717157739745917 0.292912727506592
"207" "EDN1" "FOXA3" 0.171305791073439 0.3624731231409 0.162994888416273
"208" "EDN1" "ZNF16" 0.497926819003311 0.680113717742838 -0.0811627757412052
"209" "EDN1" "ZNF692" 0.240463788048484 0.455944325390633 -0.140105473020773
"210" "EDN1" "JUNB" 0.000527231746425 0.0115067802504059 0.398450061097177
"211" "EDN1" "ZBTB26" 0.432253633009754 0.633402236287712 -0.0939931828413403
"212" "EDN1" "KLF17" 0.0424847630639516 0.140972168348567 0.239785597435612
"213" "EDN1" "KLF11" 0.0113413595804689 0.0689932707811858 0.296835809376809
"214" "EDN1" "HINFP" 0.90227526922646 0.939489888602862 -0.0147276352176989
"215" "EDN1" "SP3" 0.33340996067936 0.540865047324295 0.115634445945077
"216" "EDN1" "RELA" 0.372805336751887 0.585264292105113 0.106598495080069
"217" "EDN1" "ZNF680" 0.795406235155998 0.87315270926899 -0.0310952472827835
"218" "EDN1" "BNC2" 0.0710666372489009 0.195768472421501 0.214000900379446
"219" "EDN1" "INSM1" 0.366705837987776 0.581946221154514 -0.107957678218296
"220" "EDN1" "ZNF417" 0.030290710452844 0.121971463622335 -0.255514824104444
"221" "EDN1" "ZIC4" 0.0612667668424273 0.174806408843693 0.221692830769656
"222" "EDN1" "PROP1" 0.244266736383232 0.460167013057444 -0.138989728036272
"223" "EDN1" "SMAD2" 0.460926097852379 0.659756963592621 0.0882693420798765
"224" "EDN1" "FOSL1" 0.000192400171472716 0.00702260625875414 0.425783008553605
"225" "EDN1" "NR2F1" 0.370200353886629 0.584316234242679 0.10717731043797
"226" "EDN1" "ETV4" 0.382451610763025 0.597197167608573 0.1044761721011
"227" "EDN1" "FOXG1" 0.565863143305111 0.727894439846223 0.0687884447674564
"228" "EDN1" "FOXL1" 0.0361185862197507 0.128617404587405 0.247443565502605
"229" "EDN1" "FOXC2" 0.0166912248090571 0.0902562526711978 0.281272107531031
"230" "EDN1" "TGIF1" 0.667572232589297 0.795637109861529 0.0514824104444016
"231" "EDN1" "NR2C2" 0.825141224955163 0.895692333408578 -0.0264968808283491
"232" "EDN1" "NHLH2" 0.632454293115617 0.779226386454684 0.0573221189145278
"233" "EDN1" "JUN" 0.000933493020437442 0.0143463137877754 0.381857354170686
"234" "EDN1" "SOX12" 0.113801655431153 0.270163279560136 -0.187986365682681
"235" "EDN1" "ZNF354C" 0.033411853767639 0.122723565760009 0.251045083285099
"236" "EDN1" "ZNF454" 0.0248158048079394 0.11374558097084 0.26438999292559
"237" "EDN1" "NEUROG2" 0.00275498029997595 0.0259501370191283 0.347826201790068
"238" "EDN1" "FOXE1" 0.0548822115747876 0.165212430719979 0.227258831933614
"239" "EDN1" "ZBTB7A" 0.0357210630511546 0.128617404587405 -0.247958068042961
"240" "EDN1" "HES7" 0.424332306049118 0.63294743148831 0.0956119000592004
"241" "EDN1" "GATA2" 0.00553417309521094 0.0425257511526735 -0.323750723519197
"242" "EDN1" "EGR3" 0.0086225104275051 0.0585528615077091 0.307401660901799
"243" "EDN1" "ZBTB18" 0.0078533934653956 0.0545997831403694 0.310920316419062
"244" "EDN1" "ZNF816" 0.00231445694169945 0.0225273808992079 -0.35355971445109
"245" "EDN1" "ZSCAN4" 0.67561559889933 0.801950223083758 0.0501620575747939
"246" "EDN1" "BHLHE22" 0.0237337688895569 0.11374558097084 0.266337596780077
"247" "EDN1" "SOX2" 0.892751040407044 0.939489888602862 -0.0161711428632219
"248" "EDN1" "PLAG1" 0.00216168388651965 0.0217659205125427 0.355778506656377
"249" "EDN1" "ZNF708" 0.710082868920075 0.826072500895067 -0.0445687825583639
"250" "EDN1" "ZNF320" 0.000293737101354977 0.00857712335956533 -0.414592578300855
"251" "EDN1" "NKX2-5" 0.0637027859073794 0.177154414142427 0.219692884856701
"252" "EDN1" "ZNF530" 0.203210905295311 0.398238821115643 -0.151746092996334
"253" "EDN1" "FIGLA" 0.0320215968950616 0.121971463622335 0.252990805203527
"254" "EDN1" "POU6F1" 0.0124953399292212 0.0717157739745917 0.293009196732909
"255" "EDN1" "FOXO4" 0.782189176366987 0.86843817300061 -0.0331532574442086
"256" "EDN1" "ZNF93" 0.550163530732905 0.724118015556799 0.0715801659270693
"257" "EDN1" "ZBTB7C" 0.0962064607272078 0.238206961369626 0.197568975496817
"258" "EDN1" "MAFF" 0.00139261601371757 0.0184838125457059 0.369702231654769
"259" "EDN1" "HSF1" 0.553401256989986 0.724118015556799 -0.0710013505691685
"260" "EDN1" "IRF7" 0.0869639535827642 0.226727450412207 0.203164190623191
"261" "EDN1" "SP1" 0.560447505191221 0.724118015556799 -0.06974725062705
"262" "EDN1" "SNAI3" 0.148523034276904 0.328550954612545 0.17200601330234
"263" "EDN1" "MYBL1" 0.790649526955729 0.873028408118091 -0.0318348446845456
"264" "EDN1" "IKZF1" 0.0606602299712122 0.174806408843693 0.222200784616374
"265" "EDN1" "FOXD2" 0.689201737500018 0.811479465120989 -0.0479452054794521
"266" "EDN1" "TEAD1" 0.0308114022578295 0.121971463622335 0.25474307029391
"267" "EDN1" "FOXD3" 0.0325814183648704 0.121971463622335 0.252198959115865
"268" "EDN1" "ZKSCAN3" 0.076805374065002 0.207618451656691 -0.209884880056595
"269" "EDN1" "TCF4" 0.0317631124685749 0.121971463622335 0.253360344716702
"270" "EDN1" "ZNF136" 0.130952002718646 0.301086494439723 -0.179690012219435
"271" "EDN1" "ZKSCAN5" 0.498439505469066 0.680113717742838 -0.0810663065148884
"272" "EDN1" "ZNF418" 0.00696959257218971 0.0496370983190096 -0.315357900829635
"273" "EDN1" "ZNF682" 0.140970076607082 0.31422337686464 -0.17522027140009
"274" "EDN1" "ZNF257" 0.939950387633003 0.949707658092861 -0.0090359508650074
"275" "EDN1" "ZNF675" 0.177800002722065 0.370995435069431 -0.160589105408708
"276" "EDN1" "ZNF460" 0.911198797148941 0.939489888602862 -0.0133770660492636
"277" "EDN1" "TEAD4" 0.0941793707878631 0.238206961369626 0.19875876262139
"278" "EDN1" "ZBTB14" 0.929290743411018 0.94851598606463 -0.0106437713036208
"279" "EDN1" "MAFK" 0.733401150575454 0.844516943265019 0.0408386391407808
"280" "EDN1" "FOXO6" 0.767188440224226 0.863223056595743 -0.0355006752845842
"281" "EDN1" "PBX2" 0.156381214341539 0.338246774723922 -0.168788989645636
"282" "EDN1" "SP5" 0.168636877298809 0.35943042460768 0.164002958569539
"283" "EDN1" "POU5F1" 0.0051313317070062 0.04049591509313 0.326451861856068
"284" "EDN1" "IRF9" 0.560085127175205 0.724118015556799 -0.0698115634445945
"285" "EDN1" "MEF2B" 0.295997877325505 0.497887179114838 0.124863335262718
"286" "EDN1" "MEF2B" 0.295997877325505 0.497887179114838 0.124863335262718
"287" "EDN1" "SP9" 0.686475133690278 0.811479465120989 0.0483887957335955
"288" "EDN1" "CEBPD" 0.000886281820911804 0.0143463137877754 0.383400861791755
"289" "EDN1" "CEBPA" 0.913750439600044 0.939489888602862 0.0129911891439964
"290" "EDN1" "FOXD1" 0.205252554612646 0.399558306312618 0.151070808412117
"291" "EDN1" "HOXA10" 0.152730531599895 0.33367372488911 0.170268184449161
"292" "EDN1" "KLF14" 0.0294867511661903 0.121269455500388 0.256728622148128
"293" "EDN1" "SPIB" 0.0385292444612382 0.135548667261223 0.244420863078011
"294" "PGF" NA NA NA NA
"295" "CTSB" "SOX8" 0.0781086960228367 0.354288806219022 -0.208984500610972
"296" "CTSB" "ZNF263" 0.0513911877337169 0.351950146834961 -0.230529294488392
"297" "CTSB" "ETV1" 0.43956489017608 0.773634206709901 0.092513988037816
"298" "CTSB" "TFAP2B" 0.396746829846533 0.733391579162742 -0.101389156858962
"299" "CTSB" "NFIX" 0.084591720112774 0.354288806219022 -0.204675541835488
"300" "CTSB" "ETV7" 0.0242033537786244 0.240472031090849 0.265483310823847
"301" "CTSB" "ZBTB32" 0.070201866093993 0.351950146834961 0.214644028554891
"302" "CTSB" "SNAI2" 0.79809811627828 0.960938321541752 -0.030677213968744
"303" "CTSB" "HSF2" 0.857018091523216 0.981269785089779 -0.0216091066949643
"304" "CTSB" "BARX2" 0.81888122964358 0.970306279645323 -0.0274615730915171
"305" "CTSB" "FOXP3" 0.000183320631953579 0.0249039861932136 0.427037108495723
"306" "CTSB" "FOXN3" 0.0696870715361969 0.351950146834961 -0.215029905460158
"307" "CTSB" "FOXC1" 0.193032751596533 0.540491704470293 -0.155186828734967
"308" "CTSB" "PRDM1" 0.00430640571596803 0.150252854442356 0.332625892340344
"309" "CTSB" "POU1F1" 0.207651037411705 0.548326903695904 -0.150283573792655
"310" "CTSB" "NFYC" 0.954464053722655 0.989814574230902 -0.00684931506849315
"311" "CTSB" "MSANTD3" 0.00804424581844287 0.176973408005743 0.310019936973439
"312" "CTSB" "KLF6" 0.839999274848566 0.972737033368825 0.024213775805518
"313" "CTSB" "MEF2A" 0.0809126335814481 0.354288806219022 -0.207087272493408
"314" "CTSB" "RORA" 0.124692165057744 0.446571939974246 -0.182616245417712
"315" "CTSB" "TCF3" 0.120493998516007 0.438284160610348 0.184642099170365
"316" "CTSB" "SREBF1" 0.55936070469418 0.861415485229037 -0.0699401890796836
"317" "CTSB" "FOSL2" 0.788790270775858 0.960938321541752 0.0321242523634961
"318" "CTSB" "RFX3" 0.000367804271116508 0.0249039861932136 -0.408482860634124
"319" "CTSB" "TCF7" 0.71789428264683 0.936912877352643 -0.0433146826162454
"320" "CTSB" "MEF2C" 0.258228820061646 0.581744315831623 -0.134992604025982
"321" "CTSB" "GRHL2" 0.189231496067113 0.536010850176973 -0.15650524149463
"322" "CTSB" "ZNF416" 0.0169920190771252 0.23218563518591 -0.280532510129269
"323" "CTSB" "REST" 0.0133806586842943 0.228957937486813 -0.290275901987266
"324" "CTSB" "TFAP2C" 0.617156846771484 0.888054961166301 -0.0599073895427359
"325" "CTSB" "RFX2" 0.905673345132306 0.982274345291084 -0.0142131326773426
"326" "CTSB" "TFAP4" 0.75349521067421 0.957314214896099 -0.0376551546723262
"327" "CTSB" "CEBPE" 0.0180277194073722 0.23218563518591 0.27806902234552
"328" "CTSB" "MZF1" 0.0647847799013095 0.351950146834961 -0.218824361695286
"329" "CTSB" "PATZ1" 0.0671999363529497 0.351950146834961 -0.216927133577722
"330" "CTSB" "HNF4A" 0.016738387802567 0.23218563518591 -0.281155389694339
"331" "CTSB" "GMEB2" 0.914175798626003 0.982274345291084 0.0129268763264519
"332" "CTSB" "ELF4" 0.0170580213978237 0.23218563518591 0.280371728085407
"333" "CTSB" "KLF5" 0.272211931249129 0.607545469744432 -0.13113383497331
