ensembl_gene_id	d0_A_Rep1	d0_A_Rep2	d0_A_Rep3	d0_A_Rep4	d0_Y_Pax7_Rep1	d0_Y_Pax7_Rep2	d0_Y_Pax7_Rep3	d0_Y_Rep1	d0_Y_Rep2	d0_Y_Rep3	d0_Y_Rep4	d1_A_Rep1	d1_A_Rep2	d1_Y_Rep1	d1_Y_Rep2	d1_Y_Rep3	d3_A_Rep1	d3_A_Rep2	d3_Y_Rep1	d3_Y_Rep2	d3_Y_Rep3	d5_A_Rep1	d5_A_Rep2	d5_Y_Rep1	d5_Y_Rep2	d7_A_Rep1	d7_A_Rep2	d7_A_Rep3	d7_A_Rep4	d7_Y_Rep1	d7_Y_Rep2	d7_Y_Rep3	d7_Y_Rep4
ENSMUSG00000050345	0.321928095	0.443606651	0.333423734	0.90303827	1.056583528	0.948600847	1.887525271	2.12763328	0	0.50589093	1.195347598	0.748461233	0.50589093	1.137503524	0.765534746	0.90303827	0	0.378511623	0.042644337	0.070389328	0.070389328	1.811471031	1.82374936	0.097610797	0.214124805	0.575312331	0.933572638	0.097610797	0.150559677	0.485426827	0.887525271	0	0.286881148
ENSMUSG00000050350	1.077242999	0.933572638	0	0	0	1.659924558	1.111031312	0.815575429	0	0.014355293	0.333423734	0	0.189033824	0	0.286881148	0.782408565	0.150559677	0	0.163498732	0.097610797	0.056583528	0.23878686	0.422233001	0.097610797	0.056583528	0.367371066	0.275007047	0	0.042644337	0.176322773	0.214124805	0	0
ENSMUSG00000050357	0	0	0.464668267	0.773996325	0.333423734	0.526068812	0.739848103	0.070389328	0.042644337	0.111031312	0.084064265	0.321928095	0.250961574	0.485426827	0.321928095	0.124328135	0.056583528	0.137503524	0.070389328	0.097610797	0.214124805	0.056583528	0.084064265	0.378511623	0.23878686	0.124328135	0.176322773	0.367371066	0.286881148	0.150559677	0.333423734	0.831877241	0.925999419
ENSMUSG00000050359	0	0	0	0	1.761285273	0.286881148	0	1.007195501	0.137503524	1.292781749	0.992768431	1.40599236	0.659924558	1.389566812	0.799087306	1.618238656	0.432959407	0.40053793	0.333423734	0.214124805	0.163498732	0.378511623	0.250961574	0.298658316	0.189033824	0.344828497	0.263034406	0	0.275007047	0.790772038	0	0	0
ENSMUSG00000050366	0	0	0	0	0	0	0	0	0	0.014355293	0	0	0	0	0	0	0	0	0.014355293	0.014355293	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050368	1.292781749	1.50589093	0.250961574	1.070389328	0	1.070389328	1.815575429	1.028569152	1.339137385	0.704871964	1.007195501	0.495695163	0.855989697	0.176322773	0.659924558	0.35614381	0.214124805	0.333423734	0.286881148	0.150559677	0.056583528	1.49057013	1.304511042	0.613531653	0.748461233	0.042644337	0.070389328	0	0.263034406	0.475084883	0.948600847	0.084064265	0
ENSMUSG00000050370	2.23878686	1.937344392	0.286881148	2.244887059	4.078097423	4.961623328	4.914564523	5.460414939	1.933572638	2.087462841	4.114367025	1.891419187	1.959770155	1.895302621	1.739848103	2.813524689	1.459431619	1.500802053	0.86393845	0.765534746	0.86393845	4.970853654	5.056583528	1.815575429	2.049630768	2.731183242	2.733354341	0.704871964	2.153805336	2.684818738	3.140778656	2.182692298	3.316145742
ENSMUSG00000050373	3.521050737	3.386810946	4.50589093	4.244887059	2.948600847	4.160274831	3.531069493	2.100977648	3.092545742	4.000901403	3.343407822	3.519793486	3.74092756	3.709290636	3.736604875	3.305970521	3.606442228	4.063502942	3.547203025	3.424922088	3.803227036	3.797012978	3.821710215	3.377123749	3.607626221	2.90303827	2.849999259	2.950468414	3.723558561	4.075532631	3.565597176	3.399171094	1.799087306
ENSMUSG00000050377	0.014355293	0.028569152	0	0	0.028569152	0.807354922	0.765534746	0.124328135	0	0.084064265	0.070389328	0.056583528	0	0.014355293	0	0.014355293	0	0.056583528	0	0	0	0.201633861	0.286881148	0	0	0	0	0.042644337	0.014355293	0	0	0	0.604071324
ENSMUSG00000050379	2.319039816	2.15704371	2.615887074	3.017921908	1.350497247	3.771885579	3.56924803	3.037382222	3.049630768	3.368768349	3.184280294	3.033863452	3.255500733	2.35614381	2.702657543	2.419538892	2.657640005	2.687060688	2.855989697	2.752748591	2.737686761	3.073820233	2.944858446	2.698218478	2.720278465	2.904965719	3.003602237	2.173127433	2.137503524	3.155425432	4.759155834	2.09085343	1.97819563
ENSMUSG00000050382	0.250961574	0.124328135	1.422233001	2.039138394	0.124328135	0.879705766	0.895302621	0.310340121	0	0.632268215	0.389566812	1.757023247	0.879705766	0.286881148	0.344828497	0.604071324	0.22650853	0.933572638	0.189033824	0.189033824	1.124328135	0.070389328	0.042644337	0.150559677	0.333423734	1.084064265	0.941106311	2	2.10433666	0.748461233	1.117695043	0.86393845	1.389566812
ENSMUSG00000050383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.056583528	0	0	0	0	0	0	0	0	0	0	0.321928095	0
ENSMUSG00000050390	0.286881148	0.321928095	1.077242999	1.632268215	0.604071324	1.321928095	1.350497247	0.604071324	0.748461233	0.90303827	0.739848103	1.09085343	0.731183242	1.485426827	1.049630768	1.361768359	0.748461233	1.232660757	0.948600847	0.970853654	1.50589093	0.669026766	0.695993813	0.887525271	1.084064265	1.124328135	1.220329955	1.66448284	1.748461233	0.82374936	0.831877241	1.480265122	1.599317794
ENSMUSG00000050394	2.15704371	2.070389328	1.641546029	2.025028794	1.580145484	2.82374936	1.974529312	1.384049807	1.49057013	1.941106311	1.682573297	1.786596362	1.875780063	1.480265122	1.659924558	2.498250868	3.531069493	3.512226887	3.691534165	3.641546029	3.731183242	1.526068812	1.500802053	3.308885057	3.215678597	2.217230716	2.23878686	2.163498732	2.021479727	2.773996325	2.722466024	1.879705766	3.040892431
ENSMUSG00000050395	0.084064265	0.150559677	0.250961574	0.176322773	0	0.731183242	0.641546029	0.35614381	0.321928095	0.124328135	0.250961574	0.201633861	0.137503524	0	0.150559677	0.263034406	0.070389328	0.084064265	0.097610797	0.084064265	0.070389328	0.613531653	0.632268215	0.111031312	0.056583528	0.097610797	0.056583528	0	0.214124805	0.150559677	0.137503524	0	0
ENSMUSG00000050397	0	0	0	0	0.042644337	0	0	0	0	0	0	0	0	0.028569152	0.084064265	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028569152	0	0	0	0
ENSMUSG00000050410	2.553360503	2.555816155	1.933572638	3.308885057	2.475084883	3.185866545	1.989139007	3.097610797	2.555816155	3.257010618	3.056583528	4.976821852	5.333423734	2.584962501	2.632268215	4.634593268	5.553974808	5.684257705	4.7382274	4.714245518	4.974070367	2.693765712	2.682573297	4.823239844	4.790772038	4.753283616	4.703211467	4.595145568	3.961623328	5.363871925	4.336997417	5.198494154	4.938285792
ENSMUSG00000050423	0	0	0	0	0	0	0	0	0	0.014355293	0	0	0.042644337	0	0	0.111031312	0.014355293	0	0.111031312	0	0.042644337	0.084064265	0.084064265	0	0.028569152	0.201633861	0.263034406	0	0	0	0	0	0
ENSMUSG00000050424	0	0	0	0.070389328	0	0	0.070389328	0.111031312	0.137503524	0.084064265	0.097610797	0.056583528	0	0	0.084064265	0.097610797	0.070389328	0.070389328	0.056583528	0.028569152	0	0	0	0.378511623	0.042644337	0.070389328	0.111031312	0	0	0.22650853	0.310340121	0.014355293	0
ENSMUSG00000050425	0	0	0	0	0	0.22650853	0.214124805	0	0	0	0	0	0	0	0	0.084064265	0	0	0	0.028569152	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050428	0.516015147	0.422233001	1.867896464	1.622930351	0.604071324	1.097610797	1.070389328	0.23878686	0.344828497	1.042644337	0.632268215	1.028569152	0.773996325	0.855989697	0.807354922	0.613531653	1.292781749	1.056583528	1.50589093	1.599317794	1.372952098	0.90303827	0.855989697	1.316145742	1.176322773	1.521050737	1.339137385	1.007195501	1.432959407	0.948600847	0.632268215	1.021479727	1.201633861
ENSMUSG00000050435	0	0	0	0	0	0	0	0	0	0	0	0	0.150559677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050439	0	0	0	0	0	0	0	0.084064265	0	0	0.028569152	0.056583528	0.028569152	0.014355293	0.014355293	0.084064265	0.097610797	0.084064265	0.042644337	0.070389328	0.014355293	0.056583528	0.014355293	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050440	0.389566812	0.189033824	0	0.137503524	0	0.422233001	0.163498732	0.298658316	0	0	0.111031312	0	0	0	0.056583528	0.150559677	0	0	0	0	0.137503524	0.604071324	0.731183242	0	0	0	0	0	0	0.23878686	0.097610797	0	0
ENSMUSG00000050445	0	0	0.056583528	0	0	0.632268215	0.22650853	0.163498732	0	0.070389328	0.084064265	0.056583528	0.042644337	0	0.014355293	0.070389328	0	0.014355293	0	0.056583528	0.028569152	0.163498732	0.084064265	0.070389328	0	0	0	0	0.056583528	0.097610797	0	0	0
ENSMUSG00000050447	0.86393845	0.526068812	1.570462931	2.22342255	1.910732662	0.871843649	0.773996325	0.659924558	1.669026766	1.10433666	1.063502942	1.475084883	1.269033146	0.948600847	1.232660757	1.769771739	2.503348735	2.153805336	3.277984747	3.001802243	2.739848103	1.14404637	1.333423734	2.3950628	2.498250868	2.277984747	2.13422094	2.622930351	2.939226578	2.378511623	2.378511623	3.117695043	2.482848283
ENSMUSG00000050463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042644337	0	0	0.042644337	0.028569152	0	0	0	0	0	0	0	0	0	0.056583528	0.014355293	0	0
ENSMUSG00000050468	0	0	0.042644337	0.22650853	0.389566812	0.263034406	0.097610797	0	0	0.070389328	0.028569152	0	0.097610797	0	0.014355293	0.097610797	0.124328135	0.137503524	0.028569152	0.070389328	0.124328135	0	0	0.669026766	0.5360529	0.263034406	0.298658316	0.137503524	0.097610797	0.298658316	0.014355293	0	0.847996907
ENSMUSG00000050471	2.627606838	2.650764559	2.871843649	2.295723025	3.333423734	3.423578171	3.257010618	3.570462931	2.646162657	2.906890596	3.085764554	3.618238656	3.575312331	2.201633861	2.310340121	3.839959587	4.586164246	4.323370069	4.482202926	4.514753498	4.592158002	3.032100843	2.957914599	3.777156666	3.592158002	3.266036894	3.184280294	3.195347598	3.007195501	3.638073837	3.174725988	3.56924803	2.908812908
ENSMUSG00000050473	0.411426246	0.454175893	1.201633861	1.23878686	0	0	0.097610797	0.23878686	0.516015147	0.321928095	0.367371066	0.545968369	0.516015147	0.263034406	0.622930351	0.014355293	0.163498732	0.189033824	0.056583528	0.056583528	0.028569152	0.22650853	0.22650853	0.097610797	0.163498732	0.575312331	0.5360529	0.201633861	0.124328135	0.485426827	0.847996907	0	0
ENSMUSG00000050478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050490	1.922197848	1.835924074	1.687060688	1.416839742	1.531069493	1.15704371	1.176322773	1.475084883	1.803227036	1.438292852	1.575312331	1.855989697	1.416839742	1.310340121	1.117695043	2.150559677	3.060047384	2.797012978	2.147306699	2.632268215	2.163498732	1.169925001	1.604071324	1.735522177	2.599317794	1.765534746	1.333423734	2.014355293	2.060047384	2.10433666	1.748461233	2.007195501	1.669026766
ENSMUSG00000050493	0	0	0	0.163498732	0.847996907	1.40599236	1.933572638	2.861955364	0	0.201633861	1.613531653	0	0.042644337	0.23878686	0.097610797	2.269033146	0.485426827	0.189033824	0.584962501	0.411426246	0.678071905	2.819668183	2.963474124	0.641546029	0.432959407	0.59454855	0.790772038	0.50589093	1.169925001	1.014355293	0.545968369	0	1.782408565
ENSMUSG00000050503	4.512858954	4.532940288	2.257010618	2.217230716	2.070389328	2.689299161	3.488000771	3.762348816	2.794935663	3.249445341	3.360364277	2.232660757	2.994579724	1.350497247	2.469885976	2.825785627	0.910732662	2.266036894	0.831877241	0.86393845	2.498250868	3.044394119	3.206330648	1.613531653	1.589763487	2.44625623	2.440952198	2.207892852	1.952333566	2.873813198	5.006746832	1.220329955	1.855989697
ENSMUSG00000050504	0	0	0	0	0	0	0	0.275007047	0	0	0.097610797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
